requests_per_second;response_time_ms
51;13227
61;15389
61;16711
65;18066
67;17494
69;23025
69;38792
70;58998
72;50735
73;29709
74;31409
74;42614
74;44522
75;20170
75;22547
75;36529
76;28190
76;31322
77;55228
77;57669
78;13441
78;21065
78;33253
79;48971
80;32137
80;40340
80;59717
82;49506
83;44992
83;50754
84;24436
84;27533
84;33917
85;25317
85;50903
85;59780
85;59714
86;58533
86;59489
87;59396
87;59819
88;57720
89;39748
89;46062
89;52849
91;35516
91;38187
91;40809
91;54915
93;51712
95;42907
96;12341
97;59803
97;59892
